instrument,sensor,band_id,band_name,min_wavelength_nm,max_wavelength_nm
Landsat 1-5,MSS,4,,500,600
Landsat 1-5,MSS,5,,600,700
Landsat 1-5,MSS,6,,700,800
Landsat 1-5,MSS,7,,800,1100
Landsat 4-5,TM,1,Blue,450,520
Landsat 4-5,TM,2,Green,520,600
Landsat 4-5,TM,3,Red,630,690
Landsat 4-5,TM,4,Near-infrared,770,900
Landsat 4-5,TM,5,Short-wave infrared,1550,1750
Landsat 4-5,TM,6,Thermal,10400,12500
Landsat 4-5,TM,7,Mid-infrared,2080,2350
Landsat 7,ETM+,1,Blue,450,520
Landsat 7,ETM+,2,Green,520,600
Landsat 7,ETM+,3,Red,630,690
Landsat 7,ETM+,4,Near-infrared,770,900
Landsat 7,ETM+,5,Short-wave infrared,1550,1750
Landsat 7,ETM+,6,Thermal,10400,12500
Landsat 7,ETM+,7,Mid-infrared,2080,2350
Landsat 7,ETM+,8,Panchromatic,520,900
Landsat 8-9,OLI,1,Coastal aerosol,435,450
Landsat 8-9,OLI,2,Blue,450,510
Landsat 8-9,OLI,3,Green,530,590
Landsat 8-9,OLI,4,Red,640,670
Landsat 8-9,OLI,5,Near-infrared,850,880
Landsat 8-9,OLI,6,SWIR 1,1570,1650
Landsat 8-9,OLI,7,SWIR 2,2110,2290
Landsat 8-9,OLI,8,Panchromatic,500,680
Landsat 8-9,OLI,9,Cirrus,1360,1380
Landsat 8-9,TIRS,10,,1060,1119
Landsat 8-9,TIRS,11,,1150,1251
MODIS,,1,Red,620,670
MODIS,,2,Near-infrared,841,876
MODIS,,3,Blue/green,459,479
MODIS,,4,Green,545,565
MODIS,,5,Near-infrared,1230,1250
MODIS,,6,Mid-infrared,1628,1652
MODIS,,7,Mid-infrared,2105,2155
NAIP,,1,Red,580,700
NAIP,,2,Green,480,650
NAIP,,3,Blue,380,580
NAIP,,4,Near-infrared,675,940
